date,option_code,underlying_price,strike,option_type,mid,bid,ask,close_price,volume,open_interest,expiry,days_to_expiry,iv
2025-05-04,OPT_60D_105_put,100.0248,105,put,6.2158,6.1537,6.278,6.2136,11,35,2025-07-03,60,0.2147
2025-05-04,OPT_60D_110_call,100.0248,110,call,1.1758,1.164,1.1875,1.1779,77,24,2025-07-03,60,0.2578
2025-05-04,OPT_60D_110_put,100.0248,110,put,10.6098,10.5037,10.7159,10.6914,52,21,2025-07-03,60,0.2578
2025-05-04,OPT_60D_120_call,100.0248,120,call,0.1547,0.1497,0.1597,0.1545,31,25,2025-07-03,60,0.2431
2025-05-04,OPT_60D_120_put,100.0248,120,put,19.5395,19.3441,19.7349,19.5181,41,37,2025-07-03,60,0.2431
2025-05-04,OPT_60D_80_call,100.0248,80,call,20.4638,20.2592,20.6685,20.4813,8,9,2025-07-03,60,0.2561
2025-05-04,OPT_60D_80_put,100.0248,80,put,0.0454,0.0404,0.0504,0.0454,38,13,2025-07-03,60,0.2561
2025-05-04,OPT_60D_90_call,100.0248,90,call,10.9907,10.8808,11.1006,10.9654,28,27,2025-07-03,60,0.2318
2025-05-04,OPT_60D_90_put,100.0248,90,put,0.5231,0.5179,0.5284,0.5259,14,40,2025-07-03,60,0.2318
2025-05-04,OPT_60D_95_call,100.0248,95,call,6.9202,6.851,6.9894,6.9413,0,40,2025-07-03,60,0.2233
2025-05-04,OPT_60D_95_put,100.0248,95,put,1.428,1.4137,1.4423,1.4354,77,3,2025-07-03,60,0.2233
2025-05-04,OPT_90D_100_call,100.0248,100,call,4.719,4.6718,4.7661,4.7,94,16,2025-08-02,90,0.2193
2025-05-04,OPT_90D_100_put,100.0248,100,put,3.9571,3.9176,3.9967,3.9944,36,48,2025-08-02,90,0.2193
2025-05-04,OPT_90D_105_call,100.0248,105,call,2.8477,2.8192,2.8762,2.8204,28,1,2025-08-02,90,0.23
2025-05-04,OPT_90D_105_put,100.0248,105,put,7.049,6.9785,7.1195,7.0481,60,25,2025-08-02,90,0.23
2025-05-04,OPT_90D_110_call,100.0248,110,call,1.4184,1.4042,1.4326,1.4206,14,24,2025-08-02,90,0.2235
2025-05-04,OPT_90D_110_put,100.0248,110,put,10.5829,10.4771,10.6887,10.6434,23,36,2025-08-02,90,0.2235
2025-05-04,OPT_90D_120_call,100.0248,120,call,0.457,0.452,0.462,0.4602,63,26,2025-08-02,90,0.246
2025-05-04,OPT_90D_120_put,100.0248,120,put,19.5478,19.3523,19.7433,19.4108,9,41,2025-08-02,90,0.246
2025-05-04,OPT_90D_80_call,100.0248,80,call,20.716,20.5089,20.9232,20.6323,92,40,2025-08-02,90,0.2381
2025-05-04,OPT_90D_80_put,100.0248,80,put,0.1016,0.0966,0.1066,0.1014,63,43,2025-08-02,90,0.2381
2025-05-04,OPT_90D_90_call,100.0248,90,call,11.458,11.3434,11.5726,11.4874,89,26,2025-08-02,90,0.2168
2025-05-04,OPT_90D_90_put,100.0248,90,put,0.7699,0.7622,0.7776,0.7672,22,21,2025-08-02,90,0.2168
2025-05-04,OPT_90D_95_call,100.0248,95,call,7.6945,7.6176,7.7715,7.7059,0,25,2025-08-02,90,0.2199
2025-05-04,OPT_90D_95_put,100.0248,95,put,1.9696,1.9499,1.9892,1.9721,41,11,2025-08-02,90,0.2199
2025-05-05,OPT_30D_100_call,99.9902,100,call,3.1482,3.1168,3.1797,3.1606,33,17,2025-06-04,30,0.2652
2025-05-05,OPT_30D_100_put,99.9902,100,put,2.9118,2.8826,2.9409,2.9194,88,38,2025-06-04,30,0.2652
2025-05-05,OPT_30D_105_call,99.9902,105,call,1.2996,1.2866,1.3126,1.2952,16,44,2025-06-04,30,0.2662
2025-05-05,OPT_30D_105_put,99.9902,105,put,6.0508,5.9903,6.1113,6.0578,60,0,2025-06-04,30,0.2662
2025-05-05,OPT_30D_110_call,99.9902,110,call,0.437,0.432,0.442,0.4355,0,8,2025-06-04,30,0.2671
2025-05-05,OPT_30D_110_put,99.9902,110,put,10.1759,10.0742,10.2777,10.2709,65,11,2025-06-04,30,0.2671
2025-05-05,OPT_30D_120_call,99.9902,120,call,0.0326,0.0276,0.0376,0.0324,32,37,2025-06-04,30,0.2743
2025-05-05,OPT_30D_120_put,99.9902,120,put,19.7468,19.5494,19.9443,19.8245,64,42,2025-06-04,30,0.2743
2025-05-05,OPT_30D_80_call,99.9902,80,call,20.1889,19.987,20.3908,20.199,67,0,2025-06-04,30,0.2535
2025-05-05,OPT_30D_80_put,99.9902,80,put,0.0034,0.0,0.0067,0.0033,51,11,2025-06-04,30,0.2535
2025-05-05,OPT_30D_90_call,99.9902,90,call,10.3758,10.2721,10.4796,10.4004,69,19,2025-06-04,30,0.24
2025-05-05,OPT_30D_90_put,99.9902,90,put,0.164,0.159,0.169,0.1633,92,43,2025-06-04,30,0.24
2025-05-05,OPT_30D_95_call,99.9902,95,call,6.1736,6.1119,6.2353,6.1987,81,27,2025-06-04,30,0.2539
2025-05-05,OPT_30D_95_put,99.9902,95,put,0.9494,0.9399,0.9589,0.9436,52,12,2025-06-04,30,0.2539
2025-05-05,OPT_60D_100_call,99.9902,100,call,4.2166,4.1744,4.2588,4.2119,1,46,2025-07-04,60,0.2462
2025-05-05,OPT_60D_100_put,99.9902,100,put,3.7345,3.6971,3.7718,3.7478,42,48,2025-07-04,60,0.2462
2025-05-05,OPT_60D_105_call,99.9902,105,call,1.8218,1.8035,1.84,1.808,85,15,2025-07-04,60,0.2199
2025-05-05,OPT_60D_105_put,99.9902,105,put,6.315,6.2519,6.3782,6.3218,93,34,2025-07-04,60,0.2199
2025-05-05,OPT_60D_110_call,99.9902,110,call,0.685,0.6782,0.6919,0.682,61,49,2025-07-04,60,0.2129
2025-05-05,OPT_60D_110_put,99.9902,110,put,10.1537,10.0521,10.2552,10.1615,14,25,2025-07-04,60,0.2129
2025-05-05,OPT_60D_120_call,99.9902,120,call,0.1729,0.1679,0.1779,0.1734,69,35,2025-07-04,60,0.2485
2025-05-05,OPT_60D_120_put,99.9902,120,put,19.5924,19.3965,19.7883,19.4575,80,40,2025-07-04,60,0.2485
2025-05-05,OPT_60D_80_call,99.9902,80,call,20.4318,20.2275,20.6361,20.6256,9,18,2025-07-04,60,0.2578
2025-05-05,OPT_60D_80_put,99.9902,80,put,0.048,0.043,0.053,0.0478,97,19,2025-07-04,60,0.2578
2025-05-05,OPT_60D_90_call,99.9902,90,call,10.8832,10.7744,10.9921,10.8983,79,25,2025-07-04,60,0.2215
2025-05-05,OPT_60D_90_put,99.9902,90,put,0.4503,0.4453,0.4553,0.4521,57,24,2025-07-04,60,0.2215
2025-05-05,OPT_60D_95_call,99.9902,95,call,7.2388,7.1664,7.3112,7.2078,28,1,2025-07-04,60,0.2494
2025-05-05,OPT_60D_95_put,99.9902,95,put,1.7812,1.7634,1.7991,1.7717,94,47,2025-07-04,60,0.2494
2025-05-05,OPT_90D_100_call,99.9902,100,call,4.86,4.8114,4.9086,4.8338,76,10,2025-08-03,90,0.2275
2025-05-05,OPT_90D_100_put,99.9902,100,put,4.1328,4.0915,4.1741,4.1177,5,26,2025-08-03,90,0.2275
2025-05-05,OPT_90D_105_call,99.9902,105,call,2.8505,2.8219,2.879,2.881,72,48,2025-08-03,90,0.2308
2025-05-05,OPT_90D_105_put,99.9902,105,put,7.0864,7.0155,7.1573,7.1089,51,16,2025-08-03,90,0.2308
2025-05-05,OPT_90D_110_call,99.9902,110,call,1.2708,1.2581,1.2835,1.2762,43,3,2025-08-03,90,0.2142
2025-05-05,OPT_90D_110_put,99.9902,110,put,10.4699,10.3652,10.5746,10.4963,40,8,2025-08-03,90,0.2142
2025-05-05,OPT_90D_120_call,99.9902,120,call,0.472,0.467,0.477,0.4709,54,35,2025-08-03,90,0.2483
2025-05-05,OPT_90D_120_put,99.9902,120,put,19.5974,19.4014,19.7934,19.5334,66,13,2025-08-03,90,0.2483
2025-05-05,OPT_90D_80_call,99.9902,80,call,20.6274,20.4211,20.8337,20.6805,79,32,2025-08-03,90,0.2122
2025-05-05,OPT_90D_80_put,99.9902,80,put,0.0476,0.0426,0.0526,0.0485,70,39,2025-08-03,90,0.2122
2025-05-05,OPT_90D_90_call,99.9902,90,call,11.4749,11.3601,11.5896,11.5184,37,4,2025-08-03,90,0.2211
2025-05-05,OPT_90D_90_put,99.9902,90,put,0.8213,0.8131,0.8296,0.8194,46,27,2025-08-03,90,0.2211
2025-05-05,OPT_90D_95_call,99.9902,95,call,7.8064,7.7283,7.8844,7.8331,3,1,2025-08-03,90,0.2281
2025-05-05,OPT_90D_95_put,99.9902,95,put,2.116,2.0948,2.1372,2.0989,82,18,2025-08-03,90,0.2281
2025-05-06,OPT_30D_100_call,100.184,100,call,3.4576,3.423,3.4921,3.4577,65,8,2025-06-05,30,0.2833
2025-05-06,OPT_30D_100_put,100.184,100,put,3.0273,2.997,3.0576,3.0303,2,29,2025-06-05,30,0.2833
2025-05-06,OPT_30D_105_call,100.184,105,call,1.1802,1.1684,1.192,1.1809,38,32,2025-06-05,30,0.2483
2025-05-06,OPT_30D_105_put,100.184,105,put,5.7376,5.6802,5.795,5.7566,45,27,2025-06-05,30,0.2483
2025-05-06,OPT_30D_110_call,100.184,110,call,0.4091,0.4041,0.4141,0.4103,96,45,2025-06-05,30,0.2581
2025-05-06,OPT_30D_110_put,100.184,110,put,9.9542,9.8547,10.0538,9.9682,7,15,2025-06-05,30,0.2581
2025-05-06,OPT_30D_120_call,100.184,120,call,0.0179,0.0129,0.0229,0.0178,11,34,2025-06-05,30,0.2522
2025-05-06,OPT_30D_120_put,100.184,120,put,19.5383,19.3429,19.7337,19.6213,62,43,2025-06-05,30,0.2522
2025-05-06,OPT_30D_80_call,100.184,80,call,20.387,20.1831,20.5909,20.2321,35,37,2025-06-05,30,0.2855
2025-05-06,OPT_30D_80_put,100.184,80,put,0.006,0.001,0.011,0.006,1,5,2025-06-05,30,0.2855
2025-05-06,OPT_30D_90_call,100.184,90,call,10.6654,10.5587,10.772,10.7067,47,4,2025-06-05,30,0.2701
2025-05-06,OPT_30D_90_put,100.184,90,put,0.2597,0.2547,0.2647,0.2555,17,21,2025-06-05,30,0.2701
2025-05-06,OPT_30D_95_call,100.184,95,call,6.2109,6.1488,6.273,6.2616,63,2,2025-06-05,30,0.2398
2025-05-06,OPT_30D_95_put,100.184,95,put,0.7929,0.785,0.8009,0.7873,37,31,2025-06-05,30,0.2398
2025-05-06,OPT_60D_100_call,100.184,100,call,4.1733,4.1316,4.2151,4.1801,95,28,2025-07-05,60,0.237
2025-05-06,OPT_60D_100_put,100.184,100,put,3.4974,3.4624,3.5324,3.4951,63,22,2025-07-05,60,0.237
2025-05-06,OPT_60D_105_call,100.184,105,call,1.8385,1.8201,1.8569,1.8273,67,37,2025-07-05,60,0.2167
2025-05-06,OPT_60D_105_put,100.184,105,put,6.138,6.0766,6.1993,6.1571,9,24,2025-07-05,60,0.2167
2025-05-06,OPT_60D_110_call,100.184,110,call,1.1212,1.11,1.1324,1.1216,44,44,2025-07-05,60,0.2503
2025-05-06,OPT_60D_110_put,100.184,110,put,10.3961,10.2921,10.5,10.3609,35,5,2025-07-05,60,0.2503
2025-05-06,OPT_60D_120_call,100.184,120,call,0.1854,0.1804,0.1904,0.1849,61,5,2025-07-05,60,0.2495
2025-05-06,OPT_60D_120_put,100.184,120,put,19.4111,19.217,19.6052,19.4349,7,41,2025-07-05,60,0.2495
2025-05-06,OPT_60D_80_call,100.184,80,call,20.623,20.4168,20.8293,20.6879,28,8,2025-07-05,60,0.2577
2025-05-06,OPT_60D_80_put,100.184,80,put,0.0455,0.0405,0.0505,0.0457,99,20,2025-07-05,60,0.2577
2025-05-06,OPT_60D_90_call,100.184,90,call,11.277,11.1643,11.3898,11.3491,34,46,2025-07-05,60,0.25
2025-05-06,OPT_60D_90_put,100.184,90,put,0.6503,0.6438,0.6568,0.6484,85,21,2025-07-05,60,0.25
2025-05-06,OPT_60D_95_call,100.184,95,call,7.4341,7.3598,7.5084,7.4643,10,45,2025-07-05,60,0.2534
2025-05-06,OPT_60D_95_put,100.184,95,put,1.7828,1.7649,1.8006,1.7944,32,44,2025-07-05,60,0.2534
2025-05-06,OPT_90D_100_call,100.184,100,call,5.1458,5.0944,5.1973,5.1853,96,18,2025-08-04,90,0.2366
2025-05-06,OPT_90D_100_put,100.184,100,put,4.2248,4.1826,4.2671,4.2394,22,48,2025-08-04,90,0.2366
2025-05-06,OPT_90D_105_call,100.184,105,call,2.6899,2.663,2.7168,2.6929,7,27,2025-08-04,90,0.2184
2025-05-06,OPT_90D_105_put,100.184,105,put,6.732,6.6647,6.7993,6.7324,96,26,2025-08-04,90,0.2184
2025-05-06,OPT_90D_110_call,100.184,110,call,1.9781,1.9583,1.9979,1.9876,45,31,2025-08-04,90,0.2564
2025-05-06,OPT_90D_110_put,100.184,110,put,10.9834,10.8736,11.0933,11.0313,4,14,2025-08-04,90,0.2564
2025-05-06,OPT_90D_120_call,100.184,120,call,0.3844,0.3794,0.3894,0.3886,27,9,2025-08-04,90,0.2345
2025-05-06,OPT_90D_120_put,100.184,120,put,19.316,19.1228,19.5091,19.2379,46,17,2025-08-04,90,0.2345
2025-05-06,OPT_90D_80_call,100.184,80,call,20.8337,20.6253,21.042,20.7846,8,49,2025-08-04,90,0.2209
2025-05-06,OPT_90D_80_put,100.184,80,put,0.0601,0.0551,0.0651,0.0602,37,18,2025-08-04,90,0.2209
2025-05-06,OPT_90D_90_call,100.184,90,call,11.5566,11.4411,11.6722,11.5443,77,27,2025-08-04,90,0.2131
2025-05-06,OPT_90D_90_put,100.184,90,put,0.7093,0.7022,0.7164,0.7124,11,24,2025-08-04,90,0.2131
2025-05-06,OPT_90D_95_call,100.184,95,call,7.8659,7.7872,7.9445,7.8651,5,5,2025-08-04,90,0.2233
2025-05-06,OPT_90D_95_put,100.184,95,put,1.9817,1.9619,2.0015,1.9789,11,32,2025-08-04,90,0.2233
2025-05-07,OPT_30D_100_call,100.075,100,call,2.7701,2.7424,2.7978,2.7618,5,43,2025-06-06,30,0.2281
2025-05-07,OPT_30D_100_put,100.075,100,put,2.4488,2.4243,2.4733,2.4489,76,47,2025-06-06,30,0.2281
2025-05-07,OPT_30D_105_call,100.075,105,call,1.275,1.2622,1.2877,1.2721,45,6,2025-06-06,30,0.2612
2025-05-07,OPT_30D_105_put,100.075,105,put,5.9414,5.882,6.0008,5.9599,95,30,2025-06-06,30,0.2612
2025-05-07,OPT_30D_110_call,100.075,110,call,0.4969,0.4919,0.5019,0.4941,61,17,2025-06-06,30,0.2754
2025-05-07,OPT_30D_110_put,100.075,110,put,10.151,10.0495,10.2525,10.1679,52,38,2025-06-06,30,0.2754
2025-05-07,OPT_30D_120_call,100.075,120,call,0.0156,0.0106,0.0206,0.0157,55,28,2025-06-06,30,0.2498
2025-05-07,OPT_30D_120_put,100.075,120,put,19.6451,19.4487,19.8416,19.6518,87,20,2025-06-06,30,0.2498
2025-05-07,OPT_30D_80_call,100.075,80,call,20.2751,20.0724,20.4779,20.3098,30,40,2025-06-06,30,0.2678
2025-05-07,OPT_30D_80_put,100.075,80,put,0.0041,0.0,0.0081,0.0041,68,8,2025-06-06,30,0.2678
2025-05-07,OPT_30D_90_call,100.075,90,call,10.4404,10.336,10.5448,10.536,93,43,2025-06-06,30,0.2348
2025-05-07,OPT_30D_90_put,100.075,90,put,0.1438,0.1388,0.1488,0.1447,98,7,2025-06-06,30,0.2348
2025-05-07,OPT_30D_95_call,100.075,95,call,6.2153,6.1532,6.2775,6.1621,96,42,2025-06-06,30,0.2509
2025-05-07,OPT_30D_95_put,100.075,95,put,0.9064,0.8973,0.9154,0.9125,83,23,2025-06-06,30,0.2509
2025-05-07,OPT_60D_100_call,100.075,100,call,4.0785,4.0377,4.1193,4.0859,18,17,2025-07-06,60,0.2348
2025-05-07,OPT_60D_100_put,100.075,100,put,3.5116,3.4764,3.5467,3.4951,89,23,2025-07-06,60,0.2348
2025-05-07,OPT_60D_105_call,100.075,105,call,1.8087,1.7906,1.8268,1.8132,19,2,2025-07-06,60,0.2171
2025-05-07,OPT_60D_105_put,100.075,105,put,6.2172,6.155,6.2793,6.2007,17,4,2025-07-06,60,0.2171
2025-05-07,OPT_60D_110_call,100.075,110,call,0.7896,0.7817,0.7974,0.7891,20,18,2025-07-06,60,0.2219
2025-05-07,OPT_60D_110_put,100.075,110,put,10.1735,10.0717,10.2752,10.1208,50,34,2025-07-06,60,0.2219
2025-05-07,OPT_60D_120_call,100.075,120,call,0.1066,0.1016,0.1116,0.1067,87,46,2025-07-06,60,0.2273
2025-05-07,OPT_60D_120_put,100.075,120,put,19.4413,19.2469,19.6357,19.4304,80,37,2025-07-06,60,0.2273
2025-05-07,OPT_60D_80_call,100.075,80,call,20.511,20.3059,20.7161,20.6514,70,10,2025-07-06,60,0.2543
2025-05-07,OPT_60D_80_put,100.075,80,put,0.0425,0.0375,0.0475,0.0427,39,21,2025-07-06,60,0.2543
2025-05-07,OPT_60D_90_call,100.075,90,call,10.8344,10.726,10.9427,10.8198,51,39,2025-07-06,60,0.2026
2025-05-07,OPT_60D_90_put,100.075,90,put,0.3167,0.3117,0.3217,0.3178,39,31,2025-07-06,60,0.2026
2025-05-07,OPT_60D_95_call,100.075,95,call,6.6983,6.6313,6.7653,6.6965,45,49,2025-07-06,60,0.2028
2025-05-07,OPT_60D_95_put,100.075,95,put,1.156,1.1444,1.1676,1.1441,63,12,2025-07-06,60,0.2028
2025-05-07,OPT_90D_100_call,100.075,100,call,4.6271,4.5808,4.6734,4.6021,11,44,2025-08-05,90,0.2133
2025-05-07,OPT_90D_100_put,100.075,100,put,3.8151,3.777,3.8533,3.8473,78,24,2025-08-05,90,0.2133
2025-05-07,OPT_90D_105_call,100.075,105,call,3.1358,3.1044,3.1671,3.137,58,37,2025-08-05,90,0.2441
2025-05-07,OPT_90D_105_put,100.075,105,put,7.287,7.2141,7.3598,7.2556,43,6,2025-08-05,90,0.2441
2025-05-07,OPT_90D_110_call,100.075,110,call,1.2264,1.2141,1.2387,1.2179,64,28,2025-08-05,90,0.2099
2025-05-07,OPT_90D_110_put,100.075,110,put,10.3407,10.2373,10.4441,10.2684,10,7,2025-08-05,90,0.2099
2025-05-07,OPT_90D_120_call,100.075,120,call,0.4321,0.4271,0.4371,0.4307,18,14,2025-08-05,90,0.2422
2025-05-07,OPT_90D_120_put,100.075,120,put,19.4727,19.278,19.6674,19.4253,17,44,2025-08-05,90,0.2422
2025-05-07,OPT_90D_80_call,100.075,80,call,20.7378,20.5304,20.9452,20.6828,37,24,2025-08-05,90,0.2266
2025-05-07,OPT_90D_80_put,100.075,80,put,0.0732,0.0682,0.0782,0.073,61,18,2025-08-05,90,0.2266
2025-05-07,OPT_90D_90_call,100.075,90,call,12.014,11.8939,12.1342,11.9991,3,12,2025-08-05,90,0.2603
2025-05-07,OPT_90D_90_put,100.075,90,put,1.2758,1.263,1.2885,1.2794,51,26,2025-08-05,90,0.2603
2025-05-07,OPT_90D_95_call,100.075,95,call,7.9444,7.865,8.0239,7.9393,53,12,2025-08-05,90,0.2327
2025-05-07,OPT_90D_95_put,100.075,95,put,2.1693,2.1476,2.191,2.1589,26,18,2025-08-05,90,0.2327
2025-05-08,OPT_30D_100_call,100.1459,100,call,3.231,3.1987,3.2633,3.2164,28,29,2025-06-07,30,0.2652
2025-05-08,OPT_30D_100_put,100.1459,100,put,2.8388,2.8104,2.8672,2.8379,53,2,2025-06-07,30,0.2652
2025-05-08,OPT_30D_105_call,100.1459,105,call,1.0536,1.0431,1.0642,1.0491,6,49,2025-06-07,30,0.2361
2025-05-08,OPT_30D_105_put,100.1459,105,put,5.6492,5.5927,5.7056,5.6383,32,40,2025-06-07,30,0.2361
2025-05-08,OPT_30D_110_call,100.1459,110,call,0.5213,0.5161,0.5266,0.5184,76,29,2025-06-07,30,0.2779
2025-05-08,OPT_30D_110_put,100.1459,110,put,10.1046,10.0035,10.2056,9.9797,34,46,2025-06-07,30,0.2779
2025-05-08,OPT_30D_120_call,100.1459,120,call,0.0156,0.0106,0.0206,0.0156,93,9,2025-06-07,30,0.2488
2025-05-08,OPT_30D_120_put,100.1459,120,put,19.5742,19.3784,19.7699,19.515,6,37,2025-06-07,30,0.2488
2025-05-08,OPT_30D_80_call,100.1459,80,call,20.3441,20.1407,20.5476,20.3716,11,19,2025-06-07,30,0.2482
2025-05-08,OPT_30D_80_put,100.1459,80,put,0.0031,0.0,0.0062,0.0031,96,43,2025-06-07,30,0.2482
2025-05-08,OPT_30D_90_call,100.1459,90,call,10.5546,10.4491,10.6602,10.5945,17,33,2025-06-07,30,0.2497
2025-05-08,OPT_30D_90_put,100.1459,90,put,0.1871,0.1821,0.1921,0.1872,57,13,2025-06-07,30,0.2497
2025-05-08,OPT_30D_95_call,100.1459,95,call,6.4791,6.4143,6.5439,6.4576,32,21,2025-06-07,30,0.2753
2025-05-08,OPT_30D_95_put,100.1459,95,put,1.0992,1.0882,1.1102,1.1024,50,12,2025-06-07,30,0.2753
2025-05-08,OPT_60D_100_call,100.1459,100,call,4.6854,4.6385,4.7322,4.7048,90,31,2025-07-07,60,0.2701
2025-05-08,OPT_60D_100_put,100.1459,100,put,4.0475,4.0071,4.088,4.0028,11,46,2025-07-07,60,0.2701
2025-05-08,OPT_60D_105_call,100.1459,105,call,1.6876,1.6707,1.7045,1.6973,13,39,2025-07-07,60,0.2073
2025-05-08,OPT_60D_105_put,100.1459,105,put,6.0252,5.9649,6.0854,6.0442,89,39,2025-07-07,60,0.2073
2025-05-08,OPT_60D_110_call,100.1459,110,call,1.5092,1.4941,1.5243,1.5057,24,37,2025-07-07,60,0.2831
2025-05-08,OPT_60D_110_put,100.1459,110,put,10.8222,10.714,10.9304,10.7762,3,28,2025-07-07,60,0.2831
2025-05-08,OPT_60D_120_call,100.1459,120,call,0.1889,0.1839,0.1939,0.1893,34,41,2025-07-07,60,0.2509
2025-05-08,OPT_60D_120_put,100.1459,120,put,19.4527,19.2582,19.6472,19.4265,79,7,2025-07-07,60,0.2509
2025-05-08,OPT_60D_80_call,100.1459,80,call,20.5952,20.3892,20.8011,20.6214,13,39,2025-07-07,60,0.2648
2025-05-08,OPT_60D_80_put,100.1459,80,put,0.0557,0.0507,0.0607,0.0556,16,40,2025-07-07,60,0.2648
2025-05-08,OPT_60D_90_call,100.1459,90,call,11.0791,10.9683,11.1899,11.0951,35,43,2025-07-07,60,0.2291
2025-05-08,OPT_60D_90_put,100.1459,90,put,0.4904,0.4854,0.4954,0.4955,39,40,2025-07-07,60,0.2291
2025-05-08,OPT_60D_95_call,100.1459,95,call,6.6714,6.6047,6.7381,6.6378,46,15,2025-07-07,60,0.1961
2025-05-08,OPT_60D_95_put,100.1459,95,put,1.0582,1.0476,1.0687,1.0583,23,44,2025-07-07,60,0.1961
2025-05-08,OPT_90D_100_call,100.1459,100,call,4.9635,4.9139,5.0132,4.9815,69,46,2025-08-06,90,0.2284
2025-05-08,OPT_90D_100_put,100.1459,100,put,4.0806,4.0398,4.1214,4.0645,57,30,2025-08-06,90,0.2284
2025-05-08,OPT_90D_105_call,100.1459,105,call,3.0068,2.9767,3.0369,3.0308,93,46,2025-08-06,90,0.2359
2025-05-08,OPT_90D_105_put,100.1459,105,put,7.0871,7.0162,7.1579,7.0689,45,5,2025-08-06,90,0.2359
2025-05-08,OPT_90D_110_call,100.1459,110,call,1.5224,1.5072,1.5377,1.5308,59,19,2025-08-06,90,0.2285
2025-05-08,OPT_90D_110_put,100.1459,110,put,10.5658,10.4602,10.6715,10.5575,80,0,2025-08-06,90,0.2285
2025-05-08,OPT_90D_120_call,100.1459,120,call,0.2997,0.2947,0.3047,0.2982,53,45,2025-08-06,90,0.2224
2025-05-08,OPT_90D_120_put,100.1459,120,put,19.2694,19.0767,19.4621,19.11,34,17,2025-08-06,90,0.2224
2025-05-08,OPT_90D_80_call,100.1459,80,call,20.78,20.5722,20.9878,20.8587,72,32,2025-08-06,90,0.2115
2025-05-08,OPT_90D_80_put,100.1459,80,put,0.0445,0.0395,0.0495,0.0443,69,27,2025-08-06,90,0.2115
2025-05-08,OPT_90D_90_call,100.1459,90,call,11.5118,11.3967,11.6269,11.4402,18,45,2025-08-06,90,0.2119
2025-05-08,OPT_90D_90_put,100.1459,90,put,0.7026,0.6956,0.7096,0.6964,46,47,2025-08-06,90,0.2119
2025-05-08,OPT_90D_95_call,100.1459,95,call,8.3981,8.3141,8.4821,8.4099,50,30,2025-08-06,90,0.2564
2025-05-08,OPT_90D_95_put,100.1459,95,put,2.5521,2.5265,2.5776,2.5377,1,43,2025-08-06,90,0.2564
2025-05-09,OPT_30D_100_call,100.1515,100,call,3.0439,3.0134,3.0743,3.0355,3,23,2025-06-08,30,0.2485
2025-05-09,OPT_30D_100_put,100.1515,100,put,2.6461,2.6196,2.6725,2.6366,77,22,2025-06-08,30,0.2485
2025-05-09,OPT_30D_105_call,100.1515,105,call,1.3084,1.2953,1.3215,1.291,40,27,2025-06-08,30,0.2624
2025-05-09,OPT_30D_105_put,100.1515,105,put,5.8983,5.8393,5.9573,5.9305,15,9,2025-06-08,30,0.2624
2025-05-09,OPT_30D_110_call,100.1515,110,call,0.2758,0.2708,0.2808,0.2747,64,20,2025-06-08,30,0.233
2025-05-09,OPT_30D_110_put,100.1515,110,put,9.8534,9.7549,9.9519,9.8995,2,11,2025-06-08,30,0.233
